task,model,privacy_mechanism,epsilon,delta,seed,metric,value
high_cost,neural,none,inf,,0,mia_loss_threshold_auc,0.523063711814758
high_cost,neural,none,inf,,0,mia_tpr_at_fpr_0.01,0.010514018691588784
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,0,roc_auc,0.9366599462365591
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,0,pr_auc,0.9543019134495134
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,0,accuracy,0.9067164179104478
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,0,precision,0.9626168224299065
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,0,recall,0.8306451612903226
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,0,f1,0.8917748917748918
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,0,macro_f1,0.9049038393300688
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,0,brier,0.07348068803548813
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,0,ece,0.06378596362378972
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,0,threshold,0.6422986454101065
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,0,demographic_parity_difference,0.00772658056511194
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,0,equalized_odds_difference,0.0761979575805184
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,0,tpr_group_female,0.7894736842105263
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,0,tpr_group_male,0.8656716417910447
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,0,fpr_group_female,0.03225806451612903
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,0,fpr_group_male,0.024390243902439025
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,0,group_size_female,119.0
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,0,group_size_male,149.0
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,0,mia_loss_threshold_auc,0.48635182731203797
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,0,mia_tpr_at_fpr_0.01,0.010514018691588784
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,0,achieved_epsilon,0.4926042171759174
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,0,noise_multiplier,11.5625
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,0,roc_auc,0.9441644265232975
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,0,pr_auc,0.9600411579942477
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,0,accuracy,0.914179104477612
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,0,precision,0.9809523809523809
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,0,recall,0.8306451612903226
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,0,f1,0.8995633187772926
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,0,macro_f1,0.9123223760010242
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,0,brier,0.07283349335193634
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,0,ece,0.08509790517412359
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,0,threshold,0.7755386236324984
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,0,demographic_parity_difference,0.08499238621623145
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,0,equalized_odds_difference,0.2060748887143231
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,0,tpr_group_female,0.7192982456140351
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,0,tpr_group_male,0.9253731343283582
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,0,fpr_group_female,0.0
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,0,fpr_group_male,0.024390243902439025
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,0,group_size_female,119.0
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,0,group_size_male,149.0
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,0,mia_loss_threshold_auc,0.4878360824382759
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,0,mia_tpr_at_fpr_0.01,0.005841121495327103
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,0,achieved_epsilon,1.9979365212033011
high_cost,dpsgd,dpsgd,1.9979365212033011,1e-05,0,noise_multiplier,3.37890625
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,0,roc_auc,0.9462365591397849
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,0,pr_auc,0.962440483682565
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,0,accuracy,0.9216417910447762
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,0,precision,0.9813084112149533
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,0,recall,0.8467741935483871
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,0,f1,0.9090909090909091
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,0,macro_f1,0.9201192250372578
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,0,brier,0.07087859511375427
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,0,ece,0.08797462837885257
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,0,threshold,0.7701517322554663
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,0,demographic_parity_difference,0.06818566352715583
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,0,equalized_odds_difference,0.1709871694160775
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,0,tpr_group_female,0.7543859649122807
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,0,tpr_group_male,0.9253731343283582
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,0,fpr_group_female,0.0
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,0,fpr_group_male,0.024390243902439025
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,0,group_size_female,119.0
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,0,group_size_male,149.0
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,0,mia_loss_threshold_auc,0.4897932940437997
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,0,mia_tpr_at_fpr_0.01,0.0011682242990654205
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,0,achieved_epsilon,5.996399562124039
high_cost,dpsgd,dpsgd,5.996399562124039,1e-05,0,noise_multiplier,1.483154296875
high_cost,dummy,none,inf,,1,roc_auc,0.5
high_cost,dummy,none,inf,,1,pr_auc,0.5373134328358209
high_cost,dummy,none,inf,,1,accuracy,0.5373134328358209
high_cost,dummy,none,inf,,1,precision,0.5373134328358209
high_cost,dummy,none,inf,,1,recall,1.0
high_cost,dummy,none,inf,,1,f1,0.6990291262135923
high_cost,dummy,none,inf,,1,macro_f1,0.34951456310679613
high_cost,dummy,none,inf,,1,brier,0.25
high_cost,dummy,none,inf,,1,ece,0.03731343283582089
high_cost,dummy,none,inf,,1,threshold,0.5
high_cost,dummy,none,inf,,1,demographic_parity_difference,0.0
high_cost,dummy,none,inf,,1,equalized_odds_difference,0.0
high_cost,dummy,none,inf,,1,tpr_group_female,1.0
high_cost,dummy,none,inf,,1,tpr_group_male,1.0
high_cost,dummy,none,inf,,1,fpr_group_female,1.0
high_cost,dummy,none,inf,,1,fpr_group_male,1.0
high_cost,dummy,none,inf,,1,group_size_female,137.0
high_cost,dummy,none,inf,,1,group_size_male,131.0
high_cost,logistic,none,inf,,1,roc_auc,0.9529009856630825
high_cost,logistic,none,inf,,1,pr_auc,0.9711042935372498
high_cost,logistic,none,inf,,1,accuracy,0.9104477611940298
high_cost,logistic,none,inf,,1,precision,0.9285714285714286
high_cost,logistic,none,inf,,1,recall,0.9027777777777778
high_cost,logistic,none,inf,,1,f1,0.9154929577464789
high_cost,logistic,none,inf,,1,macro_f1,0.9101274312541918
high_cost,logistic,none,inf,,1,brier,0.08382146056089483
high_cost,logistic,none,inf,,1,ece,0.1135240573172362
high_cost,logistic,none,inf,,1,threshold,0.5596575326633165
high_cost,logistic,none,inf,,1,demographic_parity_difference,0.05126204936758233
high_cost,logistic,none,inf,,1,equalized_odds_difference,0.10843141038008874
high_cost,logistic,none,inf,,1,tpr_group_female,0.9577464788732394
high_cost,logistic,none,inf,,1,tpr_group_male,0.8493150684931506
high_cost,logistic,none,inf,,1,fpr_group_female,0.10606060606060606
high_cost,logistic,none,inf,,1,fpr_group_male,0.05172413793103448
high_cost,logistic,none,inf,,1,group_size_female,137.0
high_cost,logistic,none,inf,,1,group_size_male,131.0
high_cost,svm,none,inf,,1,roc_auc,0.9397961469534051
high_cost,svm,none,inf,,1,pr_auc,0.9670691945229236
high_cost,svm,none,inf,,1,accuracy,0.9253731343283582
high_cost,svm,none,inf,,1,precision,0.9558823529411765
high_cost,svm,none,inf,,1,recall,0.9027777777777778
high_cost,svm,none,inf,,1,f1,0.9285714285714286
high_cost,svm,none,inf,,1,macro_f1,0.9252232142857143
high_cost,svm,none,inf,,1,brier,0.06858953250734005
high_cost,svm,none,inf,,1,ece,0.06878558474419638
