task,model,privacy_mechanism,epsilon,delta,metric,mean,std,ci_lower,ci_upper,n_runs,method
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,accuracy,0.8917910447761195,0.030542361089076302,0.8538676945916739,0.9297143949605651,5,repeated_seed_t
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,achieved_epsilon,0.4926042171759174,0.0,0.4926042171759174,0.4926042171759174,5,repeated_seed_t
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,brier,0.08728487938642501,0.018277011436053255,0.06459097229151921,0.10997878648133082,5,repeated_seed_t
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,demographic_parity_difference,0.04759322670499409,0.07489934869614921,-0.04540659805992442,0.1405930514699126,5,repeated_seed_t
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,ece,0.07171292692282126,0.007395330196425153,0.06253041166309098,0.08089544218255154,5,repeated_seed_t
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,equalized_odds_difference,0.10188502448238454,0.05159894358553629,0.03781647388687709,0.165953575077892,5,repeated_seed_t
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,f1,0.8883062438854983,0.025046879952900086,0.8572064347806506,0.919406052990346,5,repeated_seed_t
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,fpr_group_female,0.08912453303998394,0.11060592784818367,-0.04821086555702886,0.22645993163699674,5,repeated_seed_t
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,fpr_group_male,0.07387839709118094,0.0480468995878765,0.014220291647603411,0.13353650253475846,5,repeated_seed_t
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,group_size_female,130.4,7.602631123499284,120.96008664232751,139.83991335767251,5,repeated_seed_t
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,group_size_male,137.6,7.602631123499284,128.16008664232749,147.0399133576725,5,repeated_seed_t
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,macro_f1,0.8910082096510035,0.030233659470383055,0.8534681631526766,0.9285482561493303,5,repeated_seed_t
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,mia_loss_threshold_auc,0.49185555865532155,0.016473479893003858,0.47140103174704506,0.512310085563598,5,repeated_seed_t
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,mia_tpr_at_fpr_0.01,0.009579439252336449,0.0029088550462590497,0.005967618665403242,0.013191259839269656,5,repeated_seed_t
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,noise_multiplier,11.5625,0.0,11.5625,11.5625,5,repeated_seed_t
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,pr_auc,0.9522593418237502,0.016954601318274733,0.9312074237629503,0.97331125988455,5,repeated_seed_t
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,precision,0.9198043130534452,0.05590008003013705,0.8503951961833148,0.9892134299235756,5,repeated_seed_t
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,recall,0.8608367560098404,0.02595333068606468,0.828611439663477,0.8930620723562039,5,repeated_seed_t
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,roc_auc,0.93347376519005,0.0193225297012886,0.909481675705737,0.957465854674363,5,repeated_seed_t
