task,model,epsilon,metric,mean_over_seeds
smoker_without_charges,dpsgd,0.4926042171759174,fpr_group_female,0.9349158441061796
smoker_without_charges,dpsgd,0.4926042171759174,fpr_group_male,0.9622143315944742
smoker_without_charges,dpsgd,0.4926042171759174,group_size_female,133.0
smoker_without_charges,dpsgd,0.4926042171759174,group_size_male,135.0
smoker_without_charges,dpsgd,0.4926042171759174,tpr_group_female,0.9294545454545455
smoker_without_charges,dpsgd,0.4926042171759174,tpr_group_male,0.9677028347996088
smoker_without_charges,dpsgd,1.997936521203301,fpr_group_female,0.8569974970677784
smoker_without_charges,dpsgd,1.997936521203301,fpr_group_male,0.9819050073637703
smoker_without_charges,dpsgd,1.997936521203301,group_size_female,133.0
smoker_without_charges,dpsgd,1.997936521203301,group_size_male,135.0
smoker_without_charges,dpsgd,1.997936521203301,tpr_group_female,0.8527272727272728
smoker_without_charges,dpsgd,1.997936521203301,tpr_group_male,1.0
smoker_without_charges,dpsgd,5.996399562124039,fpr_group_female,0.7924279644758483
smoker_without_charges,dpsgd,5.996399562124039,fpr_group_male,0.9959381443298969
smoker_without_charges,dpsgd,5.996399562124039,group_size_female,133.0
smoker_without_charges,dpsgd,5.996399562124039,group_size_male,135.0
smoker_without_charges,dpsgd,5.996399562124039,tpr_group_female,0.7796363636363637
smoker_without_charges,dpsgd,5.996399562124039,tpr_group_male,1.0
smoker_without_charges,dummy,inf,fpr_group_female,1.0
smoker_without_charges,dummy,inf,fpr_group_male,1.0
smoker_without_charges,dummy,inf,group_size_female,133.0
smoker_without_charges,dummy,inf,group_size_male,135.0
smoker_without_charges,dummy,inf,tpr_group_female,1.0
smoker_without_charges,dummy,inf,tpr_group_male,1.0
smoker_without_charges,gradient_boosting,inf,fpr_group_female,0.7505456864934617
smoker_without_charges,gradient_boosting,inf,fpr_group_male,0.8827152170821118
smoker_without_charges,gradient_boosting,inf,group_size_female,133.0
smoker_without_charges,gradient_boosting,inf,group_size_male,135.0
smoker_without_charges,gradient_boosting,inf,tpr_group_female,0.794060606060606
smoker_without_charges,gradient_boosting,inf,tpr_group_male,0.8960117302052787
smoker_without_charges,logistic,inf,fpr_group_female,0.4465500563736626
smoker_without_charges,logistic,inf,fpr_group_male,0.9595914828018113
smoker_without_charges,logistic,inf,group_size_female,133.0
smoker_without_charges,logistic,inf,group_size_male,135.0
smoker_without_charges,logistic,inf,tpr_group_female,0.4916363636363636
smoker_without_charges,logistic,inf,tpr_group_male,0.9624242424242425
smoker_without_charges,neural,inf,fpr_group_female,0.6104530121542391
smoker_without_charges,neural,inf,fpr_group_male,0.9021416642579568
smoker_without_charges,neural,inf,group_size_female,133.0
smoker_without_charges,neural,inf,group_size_male,135.0
smoker_without_charges,neural,inf,tpr_group_female,0.6001515151515151
smoker_without_charges,neural,inf,tpr_group_male,0.9270967741935484
smoker_without_charges,svm,inf,fpr_group_female,0.9020066425030236
smoker_without_charges,svm,inf,fpr_group_male,0.9197465555448503
smoker_without_charges,svm,inf,group_size_female,133.0
smoker_without_charges,svm,inf,group_size_male,135.0
smoker_without_charges,svm,inf,tpr_group_female,0.9436666666666668
smoker_without_charges,svm,inf,tpr_group_male,0.8638514173998045
